time,depot,availability,dt_h,day,energy_required_MWh,charger_power_MW,charging_efficiency,base_load_MW
2026-01-01 00:00:00+01:00,ICA,1.0,1.0,2026-01-01 00:00:00+01:00,3.48,0.776,0.92,0.8534702648
2026-01-01 00:00:00+01:00,Mathem,1.0,1.0,2026-01-01 00:00:00+01:00,1.134,0.286,0.92,0.5588233038
2026-01-01 00:00:00+01:00,Postnord,1.0,1.0,2026-01-01 00:00:00+01:00,1.5,0.418,0.92,0.4763233575
2026-01-01 00:00:00+01:00,Airmee,1.0,1.0,2026-01-01 00:00:00+01:00,0.432,0.132,0.92,0.1795485235
2026-01-01 01:00:00+01:00,ICA,1.0,1.0,2026-01-01 00:00:00+01:00,3.48,0.776,0.92,0.8629748827
2026-01-01 01:00:00+01:00,Mathem,1.0,1.0,2026-01-01 00:00:00+01:00,1.134,0.286,0.92,0.5219016143999999
2026-01-01 01:00:00+01:00,Postnord,1.0,1.0,2026-01-01 00:00:00+01:00,1.5,0.418,0.92,0.47371172289999997
2026-01-01 01:00:00+01:00,Airmee,1.0,1.0,2026-01-01 00:00:00+01:00,0.432,0.132,0.92,0.1618478192
2026-01-01 02:00:00+01:00,ICA,1.0,1.0,2026-01-01 00:00:00+01:00,3.48,0.776,0.92,0.8391051171
2026-01-01 02:00:00+01:00,Mathem,1.0,1.0,2026-01-01 00:00:00+01:00,1.134,0.286,0.92,0.5491341023
2026-01-01 02:00:00+01:00,Postnord,1.0,1.0,2026-01-01 00:00:00+01:00,1.5,0.418,0.92,0.45026488530000003
2026-01-01 02:00:00+01:00,Airmee,1.0,1.0,2026-01-01 00:00:00+01:00,0.432,0.132,0.92,0.1742934954
2026-01-01 03:00:00+01:00,ICA,1.0,1.0,2026-01-01 00:00:00+01:00,3.48,0.776,0.92,0.8171367086
2026-01-01 03:00:00+01:00,Mathem,1.0,1.0,2026-01-01 00:00:00+01:00,1.134,0.286,0.92,0.5219873512000001
