switch_scenario,line_removed,powerflow_converged,buses_isolated,min_voltage_pu,max_voltage_pu,max_line_loading_percent,max_trafo_loading_percent,total_losses_MW,voltage_limits_ok,line_limits_ok,trafo_limits_ok,electrical_limits_ok,full_supply_ok,feasible,failure_reason
Base,Line 1-2,True,10,0.9925528877520436,1.03,9.476242316315094,84.69804754520719,0.05906763021425672,True,True,True,True,False,False,islanding
Base,Line 2-3,True,9,0.9925528877520436,1.03,9.476242316315094,84.69804754520719,0.05902453107912579,True,True,True,True,False,False,islanding
Base,Line 3-4,True,3,0.951467550954001,1.03,57.78778418634848,93.20086035602147,0.15354088744302624,True,True,True,True,False,False,islanding
Base,Line 4-5,True,2,0.9445362105813011,1.03,67.41743614940661,95.21982785192075,0.18284077344262278,True,True,True,True,False,False,islanding
Base,Line 5-6,True,1,0.9322391664006733,1.03,84.14008155182593,98.7238937713207,0.24510896038169558,True,True,True,True,False,False,islanding
Base,Line 7-8,True,1,0.9245945334089299,1.03,95.09979938558925,101.02183929032331,0.2943987619711338,True,True,False,False,False,False,islanding+trafo_loading
Base,Line 8-9,True,3,0.9556171986545292,1.03,61.58899379750976,93.99299475222661,0.15919958707247894,True,True,True,True,False,False,islanding
Base,Line 9-10,True,2,0.9419022622604861,1.03,76.20778828006657,97.06384418868045,0.20995662257569778,True,True,True,True,False,False,islanding
Base,Line 10-11,True,1,0.9303437500810102,1.03,89.11129764476952,99.76640586885587,0.265103887115288,True,True,True,True,False,False,islanding
Base,Line 3-8,True,5,0.9658386196918878,1.03,47.00342240312302,90.94748930069582,0.11997256960156957,True,True,True,True,False,False,islanding
Base,Line 12-13,True,2,0.9229797752679512,1.03,96.95880689645733,101.41147271329409,0.297904433318516,True,True,False,False,False,False,islanding+trafo_loading
Base,Line 13-14,True,1,0.9229797752679512,1.03,96.95880689645733,101.41147271329409,0.2980143380597764,True,True,False,False,False,False,islanding+trafo_loading
Config1,Line 1-2,True,0,0.8981237610443545,1.03,83.71066061013951,105.60570265982479,0.47127799016350846,False,True,False,False,False,False,voltage+trafo_loading
Config1,Line 2-3,True,0,0.8967954043529356,1.03,84.15920642577969,105.73513973377781,0.475694248523734,False,True,False,False,False,False,voltage+trafo_loading
Config1,Line 3-4,True,3,0.9709781806068072,1.03,32.254715579857525,89.93102337013401,0.1296749024169575,True,True,True,True,False,False,islanding
Config1,Line 4-5,True,2,0.9676297391901475,1.03,37.048278602603155,90.85726580441042,0.14878071829084227,True,True,True,True,False,False,islanding
Config1,Line 5-6,True,1,0.9618086259572147,1.03,45.29142757388209,92.4502640800361,0.18861320887679073,True,True,True,True,False,False,islanding
Config1,Line 7-8,True,1,0.9571897788100003,1.03,50.75264496375377,93.4571441994807,0.22029155784996393,True,True,True,True,False,False,islanding
Config1,Line 8-9,True,3,0.9699804628474955,1.03,36.367095318740716,89.80986320139407,0.13749643539243567,True,True,True,True,False,False,islanding
Config1,Line 9-10,True,2,0.9637344204605854,1.03,42.70122150120032,91.44499646152184,0.16950301253214262,True,True,True,True,False,False,islanding
Config1,Line 10-11,True,1,0.959191354944909,1.03,48.21380334512897,92.82528076208034,0.20283394959971685,True,True,True,True,False,False,islanding
Config1,Line 3-8,True,0,0.9496324317722736,1.03,47.003422442122705,94.56460602912784,0.22920549162987708,True,True,True,True,True,True,none
Config1,Line 12-13,True,0,0.907620565877273,1.03,112.31808036456417,104.62393873674782,0.3818744398933253,True,False,False,False,False,False,line_loading+trafo_loading
Config1,Line 13-14,True,0,0.9085943450244823,1.03,111.37175910240951,104.42634284108527,0.3763675827036461,True,False,False,False,False,False,line_loading+trafo_loading
Config2,Line 1-2,True,10,0.9925528877520436,1.03,9.476242316315094,84.69804754520719,0.05906763021425672,True,True,True,True,False,False,islanding
Config2,Line 2-3,True,9,0.9925528877520436,1.03,9.476242316315094,84.69804754520719,0.05902453107912579,True,True,True,True,False,False,islanding
Config2,Line 3-4,True,0,0.9097941700082964,1.03,98.06329252638716,101.64107406135629,0.33813363946227376,True,True,False,False,False,False,trafo_loading
Config2,Line 4-5,True,0,0.9146571169896152,1.03,97.61383605694563,101.54770125648443,0.32328615510852476,True,True,False,False,False,False,trafo_loading
Config2,Line 5-6,True,0,0.9209853604851933,1.03,97.29219913317863,101.48029548960548,0.3085686061626366,True,True,False,False,False,False,trafo_loading
Config2,Line 7-8,True,0,0.9226095293609203,1.03,97.19010611921782,101.4589958115077,0.30465231121466,True,True,False,False,False,False,trafo_loading
Config2,Line 8-9,True,3,0.9568880530662948,1.03,61.570146940601155,93.9889304488193,0.1585154208306067,True,True,True,True,False,False,islanding
Config2,Line 9-10,True,2,0.9423205869711555,1.03,76.20188392126136,97.06261604900929,0.20975264260846718,True,True,True,True,False,False,islanding
Config2,Line 10-11,True,1,0.9304394345327236,1.03,89.11016859366417,99.76617090009738,0.26506622602558816,True,True,True,True,False,False,islanding
Config2,Line 3-8,True,0,0.9013231781077068,1.03,98.63652971788136,101.75940071164536,0.3544191763711274,True,True,False,False,False,False,trafo_loading
Config2,Line 12-13,True,2,0.9232480024480266,1.03,96.95639477308583,101.41096961359813,0.2978266553598252,True,True,False,False,False,False,islanding+trafo_loading
Config2,Line 13-14,True,1,0.9232480024480266,1.03,96.95639477308583,101.41096961359813,0.2979365601010856,True,True,False,False,False,False,islanding+trafo_loading
Config3,Line 1-2,True,10,0.9925528877520436,1.03,9.476242316315094,84.69804754520719,0.05906763021425672,True,True,True,True,False,False,islanding
Config3,Line 2-3,True,9,0.9925528877520436,1.03,9.476242316315094,84.69804754520719,0.05902453107912579,True,True,True,True,False,False,islanding
Config3,Line 3-4,True,0,0.9082680976692304,1.03,98.2365810342207,101.67704562372744,0.343946037193625,True,True,False,False,False,False,trafo_loading
Config3,Line 4-5,True,2,0.9493002187502587,1.03,67.22963038177092,95.18117890962216,0.17653569932243768,True,True,True,True,False,False,islanding
Config3,Line 5-6,True,1,0.9366880671274657,1.03,83.98443654492645,98.69160145340231,0.23989368589700116,True,True,True,True,False,False,islanding
Config3,Line 7-8,True,1,0.9269509445736722,1.03,94.97799934350112,100.99641747540964,0.2902827923201731,True,True,False,False,False,False,islanding+trafo_loading
Config3,Line 8-9,True,0,0.9236965406855923,1.03,96.97471161040109,101.414694500236,0.3028890829782024,True,True,False,False,False,False,trafo_loading
Config3,Line 9-10,True,0,0.925228058731641,1.03,96.935997531921,101.40646303418916,0.2997445673315534,True,True,False,False,False,False,trafo_loading
Config3,Line 10-11,True,0,0.9245763973194688,1.03,96.91913582688105,101.40309477338249,0.30093711682181745,True,True,False,False,False,False,trafo_loading
Config3,Line 3-8,True,0,0.9196149975962963,1.03,97.39962755064187,101.50276139437896,0.31311612646982234,True,True,False,False,False,False,trafo_loading
Config3,Line 12-13,True,2,0.9255119998982216,1.03,96.82655817744586,101.3838695991227,0.293470749262579,True,True,False,False,False,False,islanding+trafo_loading
Config3,Line 13-14,True,1,0.9255119998982216,1.03,96.82655817744586,101.3838695991227,0.29358065400383937,True,True,False,False,False,False,islanding+trafo_loading
