switch_scenario,line_removed,broken_by,element_name,measured_value,limit_broken
Base,Line 1-2,Bus,Bus 2,,isolated - no supply
Base,Line 1-2,Bus,Bus 3,,isolated - no supply
Base,Line 1-2,Bus,Bus 4,,isolated - no supply
Base,Line 1-2,Bus,Bus 5,,isolated - no supply
Base,Line 1-2,Bus,Bus 6,,isolated - no supply
Base,Line 1-2,Bus,Bus 7,,isolated - no supply
Base,Line 1-2,Bus,Bus 8,,isolated - no supply
Base,Line 1-2,Bus,Bus 9,,isolated - no supply
Base,Line 1-2,Bus,Bus 10,,isolated - no supply
Base,Line 1-2,Bus,Bus 11,,isolated - no supply
Base,Line 2-3,Bus,Bus 3,,isolated - no supply
Base,Line 2-3,Bus,Bus 4,,isolated - no supply
Base,Line 2-3,Bus,Bus 5,,isolated - no supply
Base,Line 2-3,Bus,Bus 6,,isolated - no supply
Base,Line 2-3,Bus,Bus 7,,isolated - no supply
Base,Line 2-3,Bus,Bus 8,,isolated - no supply
Base,Line 2-3,Bus,Bus 9,,isolated - no supply
Base,Line 2-3,Bus,Bus 10,,isolated - no supply
Base,Line 2-3,Bus,Bus 11,,isolated - no supply
Base,Line 3-4,Bus,Bus 4,,isolated - no supply
Base,Line 3-4,Bus,Bus 5,,isolated - no supply
Base,Line 3-4,Bus,Bus 6,,isolated - no supply
Base,Line 4-5,Bus,Bus 5,,isolated - no supply
Base,Line 4-5,Bus,Bus 6,,isolated - no supply
Base,Line 5-6,Bus,Bus 6,,isolated - no supply
Base,Line 7-8,Bus,Bus 7,,isolated - no supply
Base,Line 7-8,Transformer,Trafo 0-1,101.02183929032331,loading above 100.0%
Base,Line 8-9,Bus,Bus 9,,isolated - no supply
Base,Line 8-9,Bus,Bus 10,,isolated - no supply
Base,Line 8-9,Bus,Bus 11,,isolated - no supply
Base,Line 9-10,Bus,Bus 10,,isolated - no supply
Base,Line 9-10,Bus,Bus 11,,isolated - no supply
Base,Line 10-11,Bus,Bus 11,,isolated - no supply
Base,Line 3-8,Bus,Bus 7,,isolated - no supply
Base,Line 3-8,Bus,Bus 8,,isolated - no supply
Base,Line 3-8,Bus,Bus 9,,isolated - no supply
Base,Line 3-8,Bus,Bus 10,,isolated - no supply
Base,Line 3-8,Bus,Bus 11,,isolated - no supply
Base,Line 12-13,Bus,Bus 13,,isolated - no supply
Base,Line 12-13,Bus,Bus 14,,isolated - no supply
Base,Line 12-13,Transformer,Trafo 0-1,101.41147271329409,loading above 100.0%
Base,Line 13-14,Bus,Bus 14,,isolated - no supply
Base,Line 13-14,Transformer,Trafo 0-1,101.41147271329409,loading above 100.0%
Config1,Line 1-2,Bus,Bus 5,0.8996759752671921,voltage below 0.9 pu
Config1,Line 1-2,Bus,Bus 6,0.8981237610443545,voltage below 0.9 pu
Config1,Line 1-2,Transformer,Trafo 0-12,105.60570265982479,loading above 100.0%
