switch_scenario,line_removed,powerflow_converged,buses_isolated,min_voltage_pu,max_voltage_pu,max_line_loading_percent,max_trafo_loading_percent,total_losses_MW,voltage_limits_ok,line_limits_ok,trafo_limits_ok,electrical_limits_ok,full_supply_ok,feasible,failure_reason
AllClosed,Line 1-2,True,0,0.975090262971473,1.03,38.28525422377491,58.48619636490987,0.1059622029283428,True,True,True,True,True,True,none
AllClosed,Line 2-3,True,0,0.9738540257937125,1.03,38.65160950121208,58.416247038981886,0.10754726144134577,True,True,True,True,True,True,none
AllClosed,Line 3-4,True,0,0.9899445111611611,1.03,28.28502035681678,61.31643203325555,0.07594460333639258,True,True,True,True,True,True,none
AllClosed,Line 4-5,True,0,0.9898242098228389,1.03,27.871198966770315,61.437533458181434,0.07428625395542805,True,True,True,True,True,True,none
AllClosed,Line 5-6,True,0,0.9919119547477663,1.03,27.696321311788825,61.496575504063024,0.07332030773357957,True,True,True,True,True,True,none
AllClosed,Line 7-8,True,0,0.990589369926399,1.03,27.541321367750633,61.54472232259356,0.07381686981930315,True,True,True,True,True,True,none
AllClosed,Line 8-9,True,0,0.9900616670319685,1.03,27.204352801918606,61.62229204773673,0.0741829902889459,True,True,True,True,True,True,none
AllClosed,Line 9-10,True,0,0.9916204031086238,1.03,27.409558032281613,61.56006519361282,0.07324422616112819,True,True,True,True,True,True,none
AllClosed,Line 10-11,True,0,0.9922142088357261,1.03,27.587101930392205,61.50108573689441,0.07298990543471648,True,True,True,True,True,True,none
AllClosed,Line 3-8,True,0,0.9920677573618625,1.03,27.431307727107807,61.53540557628167,0.07272600504575995,True,True,True,True,True,True,none
AllClosed,Line 12-13,True,0,0.9696254828924006,1.03,52.22948436757322,69.08472682297634,0.09108987702473842,True,True,True,True,True,True,none
AllClosed,Line 13-14,True,0,0.9701233918829871,1.03,51.835503010377984,69.00322877927476,0.09004652352145857,True,True,True,True,True,True,none
