switch_scenario,line_removed,powerflow_converged,buses_isolated,min_voltage_pu,max_voltage_pu,max_line_loading_percent,max_trafo_loading_percent,total_losses_MW,voltage_limits_ok,line_limits_ok,trafo_limits_ok,electrical_limits_ok,full_supply_ok,feasible,failure_reason
AllClosed,Line 1-2,True,0,0.9750902629714707,1.03,38.28525422377583,54.970097618363724,0.10436650879627038,True,True,True,True,True,True,none
AllClosed,Line 2-3,True,0,0.9738540257937087,1.03,38.65160950121413,54.90938198568005,0.10595761066742576,True,True,True,True,True,True,none
AllClosed,Line 3-4,True,0,0.9919843505841786,1.03,26.450278199499174,58.22853757090029,0.07052009918657928,True,True,True,True,True,True,none
AllClosed,Line 4-5,True,0,0.9919133882087372,1.03,25.99760640142401,58.35926328245699,0.06877278458908216,True,True,True,True,True,True,none
AllClosed,Line 5-6,True,0,0.9939962902146697,1.03,25.821241093052883,58.41678502309752,0.0677978519266678,True,True,True,True,True,True,none
AllClosed,Line 7-8,True,0,0.9928127692218758,1.03,25.666142471767113,58.46451658116467,0.06828559732044745,True,True,True,True,True,True,none
AllClosed,Line 8-9,True,0,0.9923178293768373,1.03,25.348404064874323,58.53931712847251,0.06868484284622497,True,True,True,True,True,True,none
AllClosed,Line 9-10,True,0,0.9938714233893016,1.03,25.551106073578406,58.47762326276084,0.06775399497140946,True,True,True,True,True,True,none
AllClosed,Line 10-11,True,0,0.9943684905898746,1.03,25.729062213726834,58.419662388222996,0.06751078697600277,True,True,True,True,True,True,none
AllClosed,Line 3-8,True,0,0.9941663743041984,1.03,25.649922795719327,58.43300722419947,0.06740409095580296,True,True,True,True,True,True,none
AllClosed,Line 12-13,True,0,0.9737923465455762,1.03,51.999461067036876,65.49373649840476,0.08857614190461677,True,True,True,True,True,True,none
AllClosed,Line 13-14,True,0,0.9742866400607032,1.03,51.60759238732332,65.41341825378525,0.08754574236148965,True,True,True,True,True,True,none
